customer_id,name,phone,tenure_months,complaints,support_calls,login_frequency,monthly_expenditure,plan_type,join_date,churn,churn_score
26,"Anjali Patel",9800000026,8,6,8,4,12600.00,Basic,2026-01-07,1,99.00
27,"Rudra Pillai",9800000027,36,2,3,19,52000.00,Platinum,2023-09-07,0,14.91
28,"Rekha Singh",9800000028,38,1,2,23,50300.00,Platinum,2023-07-07,0,1.00
29,"Anjali Bansal",9800000029,11,3,5,9,16900.00,Standard,2025-10-07,1,60.56
30,"Kavya Reddy",9800000030,11,5,7,8,12200.00,Basic,2025-10-07,1,82.81
31,"Vivek Agarwal",9800000031,36,2,4,20,29300.00,Premium,2023-09-07,0,15.10
32,"Vikram Pillai",9800000032,33,2,4,18,32400.00,Premium,2023-12-07,0,21.46
33,"Vijay Rao",9800000033,1,5,5,3,8500.00,Basic,2026-08-07,1,89.31
34,"Rajesh Bansal",9800000034,40,2,2,19,47900.00,Platinum,2023-05-07,0,8.65
35,"Pari Rawat",9800000035,44,1,1,22,42300.00,Platinum,2023-01-07,0,1.00
36,"Manish Chopra",9800000036,13,4,6,9,13900.00,Basic,2025-08-07,1,75.48
37,"Vikram Das",9800000037,21,4,5,15,22600.00,Standard,2024-12-07,0,47.07
38,"Komal Khanna",9800000038,8,5,5,8,8400.00,Basic,2026-01-07,1,79.01
39,"Priya Joshi",9800000039,25,4,6,13,33900.00,Premium,2024-08-07,1,57.48
40,"Nikita Arora",9800000040,15,4,4,10,17300.00,Standard,2025-06-07,1,58.54
41,"Vivaan Deshmukh",9800000041,9,4,5,7,14200.00,Basic,2025-12-07,1,71.48
42,"Anika Bansal",9800000042,1,6,6,0,14200.00,Basic,2026-08-07,1,99.00
43,"Ramesh Bhatt",9800000043,11,4,4,5,18700.00,Standard,2025-10-07,1,71.47
44,"Abhishek Goel",9800000044,28,3,3,12,36800.00,Premium,2024-05-07,0,46.25
45,"Arjun Chatterjee",9800000045,14,5,5,8,9500.00,Basic,2025-07-07,1,72.89
46,"Tarun Goel",9800000046,10,4,4,8,17700.00,Standard,2025-11-07,1,72.47
47,"Ramesh Joshi",9800000047,7,5,5,2,12600.00,Basic,2026-02-07,1,91.53
48,"Krishna Goel",9800000048,28,3,3,18,30600.00,Premium,2024-05-07,0,27.97
49,"Arjun Reddy",9800000049,34,1,3,15,28400.00,Premium,2023-11-07,0,17.33
50,"Neha Pandey",9800000050,19,4,5,13,21300.00,Standard,2025-02-07,1,50.65
51,"Kavya Agarwal",9800000051,23,3,4,15,37000.00,Premium,2024-10-07,0,40.34
52,"Diya Khanna",9800000052,35,2,4,20,37000.00,Premium,2023-10-07,0,19.30
53,"Nikita Mehta",9800000053,37,1,2,17,30000.00,Premium,2023-08-07,0,3.54
54,"Ira Bhandari",9800000054,17,3,5,11,23800.00,Standard,2025-04-07,1,57.98
55,"Charu Sen",9800000055,38,2,2,21,49600.00,Platinum,2023-07-07,0,8.31
56,"Snehal Patel",9800000056,22,4,6,14,19000.00,Standard,2024-11-07,1,57.72
57,"Naveen Goel",9800000057,12,4,5,4,11800.00,Basic,2025-09-07,1,74.86
58,"Devansh Yadav",9800000058,33,1,2,18,35700.00,Premium,2023-12-07,0,13.60
59,"Payal Chawla",9800000059,38,2,4,23,50800.00,Platinum,2023-07-07,0,7.36
60,"Myra Naidu",9800000060,42,0,0,28,46400.00,Platinum,2023-03-07,0,1.00
61,"Simran Mishra",9800000061,32,1,1,19,31400.00,Premium,2024-01-07,0,7.76
62,"Rekha Das",9800000062,13,5,7,2,14700.00,Basic,2025-08-07,1,91.13
63,"Vijay Desai",9800000063,6,6,7,6,13400.00,Basic,2026-03-07,1,92.51
64,"Charu Joshi",9800000064,44,1,1,26,50000.00,Platinum,2023-01-07,0,1.00
65,"Anjali Sethi",9800000065,17,4,4,9,17800.00,Standard,2025-04-07,1,66.64
66,"Pranav Sen",9800000066,17,4,6,9,19100.00,Standard,2025-04-07,1,72.36
67,"Akash Jain",9800000067,25,3,3,11,16800.00,Standard,2024-08-07,0,42.21
68,"Kritika Chopra",9800000068,13,4,4,9,21100.00,Standard,2025-08-07,1,63.74
69,"Atharv Bhatt",9800000069,27,3,4,18,33500.00,Premium,2024-06-07,0,28.57
70,"Ramesh Agarwal",9800000070,22,4,4,10,22100.00,Standard,2024-11-07,1,55.62
71,"Payal Rathi",9800000071,20,3,3,13,20100.00,Standard,2025-01-07,0,44.17
72,"Rachana Saxena",9800000072,26,2,2,13,36600.00,Premium,2024-07-07,0,25.07
73,"Diya Naidu",9800000073,23,3,3,10,22400.00,Standard,2024-10-07,0,49.23
74,"Suresh Goel",9800000074,26,3,5,10,24600.00,Standard,2024-07-07,0,48.09
75,"Vidya Tiwari",9800000075,21,3,5,14,17200.00,Standard,2024-12-07,0,41.83
76,"Praveen Yadav",9800000076,42,1,1,22,47800.00,Platinum,2023-03-07,0,1.00
77,"Ishaan Singh",9800000077,38,0,2,21,44800.00,Platinum,2023-07-07,0,1.00
78,"Ishita Kulkarni",9800000078,23,4,6,11,14200.00,Standard,2024-10-07,1,64.73
79,"Bhavya Iyer",9800000079,17,4,4,9,18500.00,Standard,2025-04-07,1,60.30
80,"Rahul Shah",9800000080,33,1,1,16,31200.00,Premium,2023-12-07,0,15.69
81,"Meera Sharma",9800000081,17,4,6,9,14600.00,Standard,2025-04-07,1,65.65
82,"Praveen Kulkarni",9800000082,44,0,1,23,51900.00,Platinum,2023-01-07,0,1.00
83,"Aryan Dubey",9800000083,18,4,5,9,20100.00,Standard,2025-03-07,1,63.70
84,"Meera Bhatia",9800000084,8,6,8,3,8000.00,Basic,2026-01-07,1,99.00
85,"Yash Kulkarni",9800000085,25,3,3,17,30400.00,Premium,2024-08-07,0,29.05
86,"Sai Patel",9800000086,28,3,3,15,28400.00,Premium,2024-05-07,0,34.23
87,"Abhishek Reddy",9800000087,31,2,3,18,30700.00,Premium,2024-02-07,0,20.43
88,"Swati Mehta",9800000088,12,6,6,6,9600.00,Basic,2025-09-07,1,93.61
89,"Amit Bhatia",9800000089,39,0,1,26,40600.00,Platinum,2023-06-07,0,1.00
90,"Tarun Chatterjee",9800000090,21,2,4,15,20800.00,Standard,2024-12-07,0,29.54
91,"Rudra Rao",9800000091,36,1,2,22,37900.00,Premium,2023-09-07,0,1.00
92,"Manisha Pillai",9800000092,11,4,6,5,14800.00,Basic,2025-10-07,1,82.05
93,"Vivaan Chawla",9800000093,22,4,4,11,17900.00,Standard,2024-11-07,1,57.54
94,"Ashok Pandey",9800000094,19,4,4,11,18800.00,Standard,2025-02-07,1,57.90
95,"Dhruv Mehta",9800000095,34,2,3,21,30600.00,Premium,2023-11-07,0,14.60
96,"Gaurav Bhatia",9800000096,14,4,6,8,14900.00,Basic,2025-07-07,1,77.51
97,"Vivek Mehta",9800000097,29,3,4,13,30300.00,Premium,2024-04-07,0,35.95
98,"Akash Bhandari",9800000098,39,1,1,20,40400.00,Platinum,2023-06-07,0,4.30
99,"Advik Jain",9800000099,32,2,2,20,34500.00,Premium,2024-01-07,0,14.80
100,"Saanvi Chopra",9800000100,44,0,2,22,50800.00,Platinum,2023-01-07,0,1.00
101,"Ananya Chopra",9800000101,38,0,1,19,41500.00,Platinum,2023-07-07,0,1.00
102,"Payal Khanna",9800000102,18,4,4,15,19900.00,Standard,2025-03-07,1,51.28
103,"Nikita Verma",9800000103,38,0,0,25,46300.00,Platinum,2023-07-07,0,1.00
104,"Navya Goel",9800000104,28,3,5,15,32600.00,Premium,2024-05-07,0,45.77
105,"Sara Banerjee",9800000105,36,2,2,15,30800.00,Premium,2023-09-07,0,23.00
106,"Shruti Patel",9800000106,21,4,4,14,21200.00,Standard,2024-12-07,1,52.28
107,"Rajesh Sen",9800000107,21,3,4,11,16800.00,Standard,2024-12-07,1,54.69
108,"Ira Kapoor",9800000108,36,1,1,21,46700.00,Platinum,2023-09-07,0,1.00
109,"Saanvi Bose",9800000109,8,4,5,5,12000.00,Basic,2026-01-07,1,74.75
110,"Suresh Reddy",9800000110,13,4,6,11,23000.00,Standard,2025-08-07,1,66.41
111,"Sneha Verma",9800000111,19,4,4,10,20200.00,Standard,2025-02-07,1,58.16
112,"Vandana Trivedi",9800000112,21,3,5,13,23700.00,Standard,2024-12-07,0,43.32
113,"Reyansh Pandey",9800000113,37,1,3,19,45200.00,Platinum,2023-08-07,0,4.85
114,"Aarohi Rathi",9800000114,2,5,6,1,8800.00,Basic,2026-07-07,1,99.00
115,"Rohan Nair",9800000115,30,2,4,13,28200.00,Premium,2024-03-07,0,39.35
116,"Bhavya Sen",9800000116,16,3,5,11,21600.00,Standard,2025-05-07,1,52.34
117,"Pranav Jain",9800000117,13,4,4,3,12400.00,Basic,2025-08-07,1,78.62
118,"Charu Bose",9800000118,29,2,2,19,35600.00,Premium,2024-04-07,0,16.12
119,"Jyoti Trivedi",9800000119,36,2,4,21,31200.00,Premium,2023-09-07,0,18.65
120,"Krishna Pawar",9800000120,20,3,4,8,18100.00,Standard,2025-01-07,1,54.24
121,"Atharv Bhandari",9800000121,26,2,4,14,17500.00,Standard,2024-07-07,0,33.01
122,"Ayaan Kulkarni",9800000122,34,1,1,20,37900.00,Premium,2023-11-07,0,1.00
123,"Rahul Chatterjee",9800000123,26,3,5,13,31300.00,Premium,2024-07-07,0,46.40
124,"Praveen Pillai",9800000124,32,2,2,21,31100.00,Premium,2024-01-07,0,10.27
125,"Dhruv Sethi",9800000125,20,5,7,12,15000.00,Standard,2025-01-07,1,72.25
126,"Vivek Verma",9800000126,19,3,3,9,17300.00,Standard,2025-02-07,1,55.21
127,"Jyoti Bansal",9800000127,6,5,6,0,9300.00,Basic,2026-03-07,1,99.00
128,"Deepika Kulkarni",9800000128,45,1,2,23,42900.00,Platinum,2022-12-07,0,1.00
129,"Siddharth Chatterjee",9800000129,20,4,5,13,23000.00,Standard,2025-01-07,1,58.42
130,"Ashok Singh",9800000130,25,4,5,10,15800.00,Standard,2024-08-07,1,59.64
131,"Rudra Sen",9800000131,47,0,1,24,42800.00,Platinum,2022-10-07,0,1.00
132,"Suresh Verma",9800000132,32,1,2,21,29400.00,Premium,2024-01-07,0,3.87
133,"Shreya Sharma",9800000133,29,1,1,17,35900.00,Premium,2024-04-07,0,8.54
134,"Ishita Sethi",9800000134,24,2,3,13,32200.00,Premium,2024-09-07,0,35.37
135,"Priya Chatterjee",9800000135,40,1,2,19,44600.00,Platinum,2023-05-07,0,1.88
136,"Tarun Kapoor",9800000136,34,2,2,17,31400.00,Premium,2023-11-07,0,19.01
137,"Kritika Pawar",9800000137,7,5,5,5,14200.00,Basic,2026-02-07,1,83.34
138,"Meera Banerjee",9800000138,24,4,5,11,22800.00,Standard,2024-09-07,1,57.44
139,"Suman Kulkarni",9800000139,27,2,4,17,29800.00,Premium,2024-06-07,0,23.28
140,"Shaurya Patel",9800000140,24,3,3,14,24000.00,Standard,2024-09-07,0,39.38
141,"Naveen Trivedi",9800000141,38,2,2,22,48100.00,Platinum,2023-07-07,0,3.16
142,"Krishna Jain",9800000142,14,5,6,6,22400.00,Standard,2025-07-07,1,84.59
143,"Vivek Banerjee",9800000143,23,3,4,12,16400.00,Standard,2024-10-07,0,47.49
144,"Aarohi Desai",9800000144,35,1,3,23,37900.00,Premium,2023-10-07,0,1.00
145,"Tanya Bansal",9800000145,21,3,4,11,15300.00,Standard,2024-12-07,0,45.66
146,"Sanjay Naidu",9800000146,42,1,1,20,44800.00,Platinum,2023-03-07,0,1.00
147,"Priya Das",9800000147,7,5,7,3,8900.00,Basic,2026-02-07,1,99.00
148,"Rachana Arora",9800000148,29,1,1,17,29600.00,Premium,2024-04-07,0,14.27
149,"Mohit Rathi",9800000149,8,4,5,4,8700.00,Basic,2026-01-07,1,82.29
150,"Vikram Mishra",9800000150,13,5,5,6,21100.00,Standard,2025-08-07,1,81.97
151,"Jyoti Chawla",9800000151,25,4,5,13,36100.00,Premium,2024-08-07,1,51.92
152,"Ishaan Yadav",9800000152,41,1,3,21,51900.00,Platinum,2023-04-07,0,1.00
153,"Dhruv Saxena",9800000153,21,3,3,10,24400.00,Standard,2024-12-07,1,53.02
154,"Vijay Joshi",9800000154,18,4,5,11,17400.00,Standard,2025-03-07,1,54.58
155,"Kavya Deshmukh",9800000155,30,2,4,13,29100.00,Premium,2024-03-07,0,29.91
156,"Komal Chatterjee",9800000156,12,4,4,7,19000.00,Standard,2025-09-07,1,69.60
157,"Anjali Bhandari",9800000157,33,3,3,17,33100.00,Premium,2023-12-07,0,27.65
158,"Arjun Nair",9800000158,22,3,5,9,18300.00,Standard,2024-11-07,1,58.10
159,"Nisha Shah",9800000159,24,2,3,14,24800.00,Standard,2024-09-07,0,32.00
160,"Manisha Trivedi",9800000160,47,1,1,26,48700.00,Platinum,2022-10-07,0,1.00
161,"Rudra Pandey",9800000161,36,1,2,22,44900.00,Platinum,2023-09-07,0,1.00
162,"Vandana Rawat",9800000162,35,2,3,21,32600.00,Premium,2023-10-07,0,10.75
163,"Tarun Pandey",9800000163,21,3,3,10,17300.00,Standard,2024-12-07,1,53.95
164,"Jyoti Bhatt",9800000164,19,5,7,9,15300.00,Standard,2025-02-07,1,79.87
165,"Ananya Bose",9800000165,35,1,2,18,36300.00,Premium,2023-10-07,0,4.80
166,"Kartik Reddy",9800000166,15,5,5,5,17600.00,Standard,2025-06-07,1,82.42
167,"Aarav Khanna",9800000167,22,3,4,12,24000.00,Standard,2024-11-07,0,41.57
168,"Amit Bansal",9800000168,4,6,6,5,10800.00,Basic,2026-05-07,1,96.54
169,"Arjun Sharma",9800000169,29,3,3,18,32700.00,Premium,2024-04-07,0,22.96
170,"Abhishek Joshi",9800000170,15,4,6,10,23900.00,Standard,2025-06-07,1,70.67
171,"Akash Mehta",9800000171,22,3,5,15,14100.00,Standard,2024-11-07,0,44.14
172,"Sanjay Singh",9800000172,14,6,7,7,12500.00,Basic,2025-07-07,1,96.59
173,"Shreya Rao",9800000173,22,3,5,14,22300.00,Standard,2024-11-07,0,48.32
174,"Payal Jain",9800000174,28,2,4,13,36300.00,Premium,2024-05-07,0,39.83
175,"Bhavya Bansal",9800000175,33,2,2,22,32500.00,Premium,2023-12-07,0,1.00
176,"Meera Das",9800000176,26,3,3,15,33800.00,Premium,2024-07-07,0,29.44
177,"Kritika Kapoor",9800000177,36,1,1,22,49200.00,Platinum,2023-09-07,0,1.00
178,"Anand Mukherjee",9800000178,26,4,4,13,17800.00,Standard,2024-07-07,0,45.84
179,"Ananya Rathi",9800000179,46,1,3,24,46400.00,Platinum,2022-11-07,0,1.00
180,"Riya Bose",9800000180,39,1,3,26,50600.00,Platinum,2023-06-07,0,1.00
181,"Krishna Reddy",9800000181,25,2,3,13,30200.00,Premium,2024-08-07,0,37.41
182,"Kartik Menon",9800000182,35,2,3,17,37500.00,Premium,2023-10-07,0,24.51
183,"Vidya Pandey",9800000183,30,2,2,16,29800.00,Premium,2024-03-07,0,21.56
184,"Suresh Agarwal",9800000184,23,3,4,11,21100.00,Standard,2024-10-07,1,53.62
185,"Atharv Bansal",9800000185,13,5,5,8,12100.00,Basic,2025-08-07,1,78.31
186,"Sara Tiwari",9800000186,4,5,7,3,10800.00,Basic,2026-05-07,1,94.27
187,"Charu Bhatt",9800000187,24,3,3,15,21900.00,Standard,2024-09-07,0,38.74
188,"Arnav Chatterjee",9800000188,36,1,3,23,45000.00,Platinum,2023-09-07,0,1.00
189,"Amit Mukherjee",9800000189,23,4,5,16,21100.00,Standard,2024-10-07,0,46.44
190,"Komal Bose",9800000190,35,2,2,19,36400.00,Premium,2023-10-07,0,7.04
191,"Payal Sharma",9800000191,15,4,5,8,21000.00,Standard,2025-06-07,1,73.76
192,"Nikita Naidu",9800000192,45,1,2,21,49800.00,Platinum,2022-12-07,0,1.00
193,"Pranav Reddy",9800000193,26,3,3,14,32100.00,Premium,2024-07-07,0,38.08
194,"Anjali Mehta",9800000194,14,3,3,7,23300.00,Standard,2025-07-07,1,60.04
195,"Simran Reddy",9800000195,8,5,6,1,8500.00,Basic,2026-01-07,1,99.00
196,"Arjun Kumar",9800000196,12,4,5,9,19900.00,Standard,2025-09-07,1,65.81
197,"Kartik Yadav",9800000197,15,5,7,8,22500.00,Standard,2025-06-07,1,75.91
198,"Navya Naidu",9800000198,30,2,4,15,30500.00,Premium,2024-03-07,0,24.38
199,"Yash Mukherjee",9800000199,22,2,3,14,35600.00,Premium,2024-11-07,0,26.93
200,"Manish Sen",9800000200,22,2,4,15,23500.00,Standard,2024-11-07,0,26.45
201,"Devansh Goel",9800000201,46,0,1,23,43200.00,Platinum,2022-11-07,0,1.00
202,"Krishna Joshi",9800000202,24,2,4,14,34200.00,Premium,2024-09-07,0,33.49
203,"Sandeep Sharma",9800000203,19,5,7,7,17500.00,Standard,2025-02-07,1,87.92
204,"Sara Patel",9800000204,31,3,3,15,30800.00,Premium,2024-02-07,0,36.58
205,"Kabir Chawla",9800000205,20,4,6,11,22800.00,Standard,2025-01-07,1,66.58
206,"Saanvi Pandey",9800000206,19,5,5,9,20600.00,Standard,2025-02-07,1,72.74
207,"Kavya Yadav",9800000207,39,1,1,21,31600.00,Premium,2023-06-07,0,1.00
208,"Simran Dubey",9800000208,26,2,3,13,35500.00,Premium,2024-07-07,0,33.40
209,"Bhavya Rao",9800000209,34,2,2,19,31000.00,Premium,2023-11-07,0,17.55
210,"Kabir Rawat",9800000210,35,2,3,21,32500.00,Premium,2023-10-07,0,5.16
211,"Pallavi Malhotra",9800000211,38,2,4,18,29600.00,Premium,2023-07-07,0,20.22
212,"Amit Banerjee",9800000212,27,4,5,15,31900.00,Premium,2024-06-07,1,50.01
213,"Naveen Saxena",9800000213,21,3,3,11,16900.00,Standard,2024-12-07,1,50.60
214,"Rachana Patel",9800000214,27,3,5,15,17300.00,Standard,2024-06-07,0,41.92
215,"Sunita Nair",9800000215,14,4,6,7,18200.00,Standard,2025-07-07,1,70.53
216,"Manisha Dubey",9800000216,26,4,4,14,30000.00,Premium,2024-07-07,0,45.91
217,"Kavya Dubey",9800000217,22,2,2,14,16400.00,Standard,2024-11-07,0,23.09
218,"Neha Bhatt",9800000218,40,0,0,21,46500.00,Platinum,2023-05-07,0,1.00
219,"Rekha Iyer",9800000219,12,5,5,4,15000.00,Basic,2025-09-07,1,85.60
220,"Atharv Kulkarni",9800000220,29,3,3,18,36100.00,Premium,2024-04-07,0,27.49
221,"Naveen Sethi",9800000221,27,3,5,18,29400.00,Premium,2024-06-07,0,36.35
222,"Ayaan Chopra",9800000222,26,3,4,15,31800.00,Premium,2024-07-07,0,32.81
223,"Diya Menon",9800000223,20,5,5,11,19000.00,Standard,2025-01-07,1,68.57
224,"Krishna Bansal",9800000224,35,1,3,21,46800.00,Platinum,2023-10-07,0,3.17
225,"Anjali Saxena",9800000225,7,4,5,2,12800.00,Basic,2026-02-07,1,81.33
226,"Rahul Chopra",9800000226,25,2,4,12,21700.00,Standard,2024-08-07,0,35.26
227,"Atharv Chauhan",9800000227,23,3,3,14,23000.00,Standard,2024-10-07,0,44.21
228,"Manisha Nair",9800000228,8,4,5,4,13400.00,Basic,2026-01-07,1,83.64
229,"Preeti Pandey",9800000229,8,6,8,6,14400.00,Basic,2026-01-07,1,99.00
230,"Rajesh Mehta",9800000230,36,1,3,16,33500.00,Premium,2023-09-07,0,16.20
231,"Praveen Goel",9800000231,5,5,7,1,14300.00,Basic,2026-04-07,1,99.00
232,"Devansh Malhotra",9800000232,11,4,5,6,23500.00,Standard,2025-10-07,1,75.57
233,"Pooja Pandey",9800000233,34,2,3,20,47500.00,Platinum,2023-11-07,0,13.11
234,"Kiara Yadav",9800000234,25,2,2,18,29600.00,Premium,2024-08-07,0,15.97
235,"Swati Pandey",9800000235,17,3,4,8,20700.00,Standard,2025-04-07,1,52.51
236,"Vandana Mishra",9800000236,10,5,7,4,10600.00,Basic,2025-11-07,1,95.90
237,"Komal Malhotra",9800000237,41,1,2,25,42000.00,Platinum,2023-04-07,0,1.00
238,"Bhavya Pandey",9800000238,21,3,4,9,24100.00,Standard,2024-12-07,1,50.20
239,"Tanya Chauhan",9800000239,15,4,4,7,15300.00,Standard,2025-06-07,1,70.03
240,"Rohan Rao",9800000240,17,4,6,8,18100.00,Standard,2025-04-07,1,68.35
241,"Vandana Bhandari",9800000241,39,2,2,19,44900.00,Platinum,2023-06-07,0,7.55
242,"Rachana Yadav",9800000242,4,6,6,0,14900.00,Basic,2026-05-07,1,99.00
243,"Rudra Chauhan",9800000243,22,4,5,15,14900.00,Standard,2024-11-07,0,44.45
244,"Rachana Banerjee",9800000244,36,1,2,24,44700.00,Platinum,2023-09-07,0,1.00
245,"Varun Kulkarni",9800000245,23,3,3,12,17500.00,Standard,2024-10-07,0,38.60
246,"Jyoti Tiwari",9800000246,29,3,3,15,30500.00,Premium,2024-04-07,0,32.12
247,"Sandeep Pillai",9800000247,12,4,4,7,14900.00,Basic,2025-09-07,1,64.57
248,"Anand Pandey",9800000248,26,2,2,11,21100.00,Standard,2024-07-07,0,38.21
249,"Abhishek Malhotra",9800000249,37,2,2,18,32300.00,Premium,2023-08-07,0,12.10
250,"Naveen Chopra",9800000250,30,2,4,16,28900.00,Premium,2024-03-07,0,25.70
251,"Karan Dubey",9800000251,32,2,4,18,31400.00,Premium,2024-01-07,0,22.39
252,"Devansh Chopra",9800000252,28,2,3,15,35700.00,Premium,2024-05-07,0,33.20
253,"Nikita Jain",9800000253,39,2,2,20,47100.00,Platinum,2023-06-07,0,12.02
254,"Nisha Verma",9800000254,24,4,5,11,15900.00,Standard,2024-09-07,1,52.66
255,"Amit Sethi",9800000255,1,5,7,0,13600.00,Basic,2026-08-07,1,99.00
256,"Aditya Gupta",9800000256,33,3,4,18,34600.00,Premium,2023-12-07,0,29.28
257,"Sandeep Patel",9800000257,28,4,5,13,33900.00,Premium,2024-05-07,0,48.10
258,"Komal Yadav",9800000258,4,6,8,0,12200.00,Basic,2026-05-07,1,99.00
259,"Rachana Chawla",9800000259,33,1,3,21,28900.00,Premium,2023-12-07,0,6.56
260,"Navya Sharma",9800000260,11,3,4,7,18600.00,Standard,2025-10-07,1,58.35
261,"Ishita Mukherjee",9800000261,38,2,2,19,40900.00,Platinum,2023-07-07,0,15.25
262,"Aditya Patel",9800000262,24,2,2,14,37900.00,Premium,2024-09-07,0,32.72
263,"Vihaan Sen",9800000263,31,3,4,17,31000.00,Premium,2024-02-07,0,26.50
264,"Bhavya Khanna",9800000264,23,3,3,11,21000.00,Standard,2024-10-07,1,51.27
265,"Kabir Agarwal",9800000265,19,3,3,10,16900.00,Standard,2025-02-07,0,48.93
266,"Ramesh Chawla",9800000266,41,1,3,22,40700.00,Platinum,2023-04-07,0,1.00
267,"Aadhya Bansal",9800000267,20,3,5,9,20300.00,Standard,2025-01-07,1,57.60
268,"Sunita Bhandari",9800000268,32,1,1,17,32200.00,Premium,2024-01-07,0,13.86
269,"Karan Trivedi",9800000269,34,1,3,17,31300.00,Premium,2023-11-07,0,10.61
270,"Vivaan Yadav",9800000270,16,4,4,13,20200.00,Standard,2025-05-07,0,48.41
271,"Neha Bose",9800000271,19,4,6,12,14400.00,Standard,2025-02-07,1,65.22
272,"Manisha Jain",9800000272,35,2,3,19,45900.00,Platinum,2023-10-07,0,17.50
273,"Amit Nair",9800000273,39,2,2,19,42500.00,Platinum,2023-06-07,0,14.64
274,"Anand Singh",9800000274,16,4,6,7,16100.00,Standard,2025-05-07,1,77.60
275,"Vijay Iyer",9800000275,34,2,4,20,34800.00,Premium,2023-11-07,0,13.00
276,"Snehal Kulkarni",9800000276,33,2,4,22,28900.00,Premium,2023-12-07,0,5.98
277,"Rahul Chawla",9800000277,24,4,6,10,24000.00,Standard,2024-09-07,1,65.37
278,"Vivaan Rao",9800000278,27,3,4,17,32600.00,Premium,2024-06-07,0,29.37
279,"Sunita Rathi",9800000279,39,1,3,21,48200.00,Platinum,2023-06-07,0,1.73
280,"Akash Chopra",9800000280,23,4,6,10,17500.00,Standard,2024-10-07,1,59.63
281,"Swati Naidu",9800000281,9,4,6,5,12800.00,Basic,2025-12-07,1,82.51
282,"Ritu Bose",9800000282,32,1,1,21,35300.00,Premium,2024-01-07,0,1.00
283,"Anjali Shah",9800000283,12,5,6,5,17200.00,Standard,2025-09-07,1,91.01
284,"Reyansh Trivedi",9800000284,8,6,7,4,10900.00,Basic,2026-01-07,1,99.00
285,"Kartik Desai",9800000285,37,2,2,24,45900.00,Platinum,2023-08-07,0,1.02
286,"Varun Trivedi",9800000286,34,1,1,17,32300.00,Premium,2023-11-07,0,6.45
287,"Sara Mukherjee",9800000287,48,1,3,24,48100.00,Platinum,2022-09-07,0,1.00
288,"Suresh Yadav",9800000288,30,3,4,20,34000.00,Premium,2024-03-07,0,22.55
289,"Harsh Naidu",9800000289,28,2,4,11,33000.00,Premium,2024-05-07,0,35.28
290,"Swati Iyer",9800000290,36,1,1,21,28200.00,Premium,2023-09-07,0,1.00
291,"Anika Mukherjee",9800000291,42,0,1,24,47900.00,Platinum,2023-03-07,0,1.00
292,"Kritika Nair",9800000292,25,3,4,13,30000.00,Premium,2024-08-07,0,40.21
293,"Karan Bose",9800000293,3,6,7,1,8100.00,Basic,2026-06-07,1,99.00
294,"Bhavya Mishra",9800000294,32,2,3,16,28500.00,Premium,2024-01-07,0,27.16
